,Location,Postcode
0,Admirals Hill,7798
1,Adriaanse,7490
2,Airlie,7806
3,Airport City,7490
4,Airport Industria,7490
5,Akasiapark,7460
6,Albowville,7405
7,Alicedale Estate,7764
8,Allenby Estate,7945
9,Alphen Estate,7806
10,Alphine Park,7785
11,Amandaglen,7550
12,Amandelrug,7580
13,Amandelsig,7580
14,Anchorage Park,7140
15,Annandale,7580
16,Annandale Village,7441
17,Annaty Bank,7945
18,Arauna,7560
19,Arcadia Centre,7570
20,Ardleigh Park,7945
21,Area Al,7785
22,Area Sst,7784
23,Asanda Village,7140
24,Ascot Village,7780
25,Athlone,7760
26,Athlone,7764
27,Athlone Industria,7764
28,Atlantic Beach,7441
29,Atlantic Beach Golf Estate,7441
30,Atlantic Strand,7441
31,Atlantis,7349
32,Audas Estate,7130
33,Aurora,7550
34,Aurora Estate,7550
35,Austinville,7580
36,Avalon Park,7580
37,Avondale,7349
38,Avondale,7490
39,Avondale,7500
40,Avondale Gardens,7800
41,Avonwood,7490
42,Bakkershoogte,7130
43,Bakoven,8005
44,Balvenie,7490
45,Bantry Bay,8005
46,Barbarosa Estate,7806
47,Barcelona,7750
48,Bardale Village,7580
49,Baronetcy Estate,7500
50,Bayridge,7441
51,Bayview,7798
52,Baywatch,7798
53,Beach Boulevard,7441
54,Beach Estate,7806
55,Beacon Hill,7349
56,Beacon Valley,7785
57,Beaconvale,7500
58,Belgravia,7530
59,Belgravia Estate,7764
60,Belhar,7493
61,Belhar,7507
62,Bella Centurion,7441
63,Bella Vista,7441
64,Bellair Estate,7530
65,Bellair Winelands Estate,7130
66,Belle Glen,7130
67,Belle Ombre,7806
68,Bellrail,7530
69,Bellville,7530
70,Bellville Business Park,7530
71,Bellville South,7530
72,Belmont Park,7570
73,Belthorne Estate,7780
74,Belvenie Estate,7490
75,Benno Park,7580
76,Berg en Dal,7806
77,Berg en Dal Estate,7806
78,Bergshoop,7550
79,Bergsig,7460
80,Bergsig,7550
81,Bergstroom,7530
82,Bergvliet,7864
83,Bergvliet,7945
84,Bergzicht,7460
85,Bernadino Heights,7570
86,Beroma,7530
87,Beverly Park,7100
88,Big Bay,7441
89,Big Bay,7448
90,Big Bay Beach Club,7441
91,Bishop Lavis,7490
92,Bishopscourt,7708
93,Bishopscourt Estate,7708
94,Blackheath,7580
95,Blackheath,7581
96,Bloekombos,7570
97,Bloemhof,7530
98,Blommendal,7530
99,Blomtuin Estate,7530
100,Blomvlei,7530
101,Blomvlei Estate,7780
102,Blouberg Sands,7441
103,Bloubergrant,7441
104,Bloubergrant,7443
105,Bloubergrant North,7444
106,Bloubergrise,7441
107,Bloubergstrand,7436
108,Bloubergstrand,7441
109,Blue Downs,7100
110,Blue Downs,7105
111,Blue Horizon,7785
112,Bokkemanskloof,7806
113,Bokmakierie,7764
114,Bongweni,7784
115,Bonnie Brae,7570
116,Bonniebrook,7570
117,Bonny Brook,7570
118,Bonteheuwel,7764
119,Boquinar,7490
120,Borchards Quarry,7490
121,Bosbell Estate,7530
122,Bosbou,7530
123,Boschendal,7945
124,Bosonia,7580
125,Boston Estate,7530
126,Bothasig,7406
127,Bothasig,7441
128,Boulevard Park,7530
129,Bracken Heights,7560
130,Bracken Park,7560
131,Brackenfell,7560
132,Brackenfell,7561
133,Brandwag,7130
134,Brandwag,7580
135,Brandwood,7580
136,Brentwood Park,7100
137,Bridgebank,7130
138,Bridgetown,7764
139,Bridgetown,7769
140,Bridgewater,7130
141,Briza Estate,7130
142,Broadlands,7140
143,Brooklyn,7405
144,Brookside Village,7130
145,Browns Farm,7750
146,Buitenzorg Village,7441
147,Bulties Estate,7130
148,Burgundy Estate,7441
149,Burundi,7100
150,Cafda,7945
151,Cambridge Estate,7441
152,Camelot,7580
153,Camps Bay,8005
154,Camps Bay,8040
155,Cape Mail,8003
156,Cape Mail Speed Services Network,8004
157,Cape Town,8000
158,Cape Town,8001
159,Cape Town International Airport,7525
160,Capegate,7562
161,Capri Village,7975
162,Capricorn,7945
163,Capricorn Beach,7945
164,Capricorn Park,7945
165,Capricorn Square,7945
166,Caravelle,7787
167,Caravelle,7798
168,Carolwood,7975
169,Casablanca,7140
170,Castle Rock,7975
171,Cedarvale,7100
172,Cedarville,7100
173,Central,8001
174,Centurion Business Park,7441
175,Century City,7441
176,Century City,7446
177,Century On Lake,7441
178,Century Place,7441
179,Chantecler,7550
180,Charlesville,7490
181,Chelsea Green,7100
182,Chempet,7441
183,Chempet,7442
184,Chrismar Estate,7530
185,Churchill Estate,7500
186,Clairewood,7100
187,Clam Hill,7500
188,Clareinch,7740
189,Claremont,7708
190,Claremont,7735
191,Clarendon Estate,7700
192,Clarkes Estate,7490
193,Clifton,8005
194,Clovelly,7975
195,Colorado Park,7785
196,Competition Mail,8017
197,Condor Park,7100
198,Coniston Park,7945
199,Connaught Estate,7490
200,Consort Park,7945
201,Constantia,7806
202,Constantia,7848
203,Constantia Dale,7100
204,Constantia Hill Estate,7806
205,Constantia Meadows,7800
206,Constantia Neck,7806
207,Constantia Park,7100
208,Constantiavale,7806
209,Cormac Park,7580
210,Cornuta,7945
211,Costa Da Gama,7945
212,Country Place,7140
213,Cravenby,7493
214,Cravenby Estate,7493
215,Crawford,7770
216,Crawford,7780
