,Location,Postcode,Latitude,Longitude
0,Admirals Hill,7798,-34.069506561359375,18.559224728539665
1,Adriaanse,7490,-33.93954999999994,18.585440000000062
2,Airlie,7806,-34.03870999999998,18.435080000000028
3,Airport City,7490,-33.97816999999998,18.591080000000034
4,Airport Industria,7490,-33.958699999999965,18.58943000000005
5,Akasiapark,7460,-33.954136790145924,18.52531614910583
6,Albowville,7405,-33.91908999999998,18.421980000000076
7,Alicedale Estate,7764,-33.31672999999995,26.08206000000007
8,Allenby Estate,7945,-34.065123474896694,18.46854978759596
9,Alphen Estate,7806,-34.01421048862569,18.457059528919643
10,Alphine Park,7785,-34.10665542486084,18.875633378300247
11,Amandaglen,7550,-33.85761999999994,18.663890000000038
12,Amandelrug,7580,-33.918519999999944,18.69151000000005
13,Amandelsig,7580,-33.92921999999993,18.693640000000073
14,Anchorage Park,7140,-34.14996999999994,18.874130000000036
15,Annandale,7580,-33.913932789293085,18.68432202729935
16,Annandale Village,7441,-33.913932789293085,18.68432202729935
17,Annaty Bank,7945,-33.91908999999998,18.421980000000076
18,Arauna,7560,-33.87366999999995,18.686120000000074
19,Arcadia Centre,7570,-33.95807699101511,18.478455783587798
20,Ardleigh Park,7945,-34.055132668669614,18.482572480421815
21,Area Al,7785,-33.863009999999974,18.519890000000032
22,Area Sst,7784,-33.863009999999974,18.519890000000032
23,Asanda Village,7140,-34.10962496377044,18.857145094711868
24,Ascot Village,7780,-33.85370999999998,18.511400000000037
25,Athlone,7760,-33.966249999999945,18.50609000000003
26,Athlone,7764,-33.966249999999945,18.50609000000003
27,Athlone Industria,7764,-34.09966091923969,18.843820481519845
28,Atlantic Beach,7441,-33.745505461534975,18.443941338475494
29,Atlantic Beach Golf Estate,7441,-33.745505461534975,18.443941338475494
30,Atlantic Strand,7441,-34.12596999999994,18.834250000000054
31,Atlantis,7349,-33.55346999999995,18.50021000000004
32,Audas Estate,7130,-34.08425999999997,18.84731000000005
33,Aurora,7550,-33.83371999999997,18.629920000000027
34,Aurora Estate,7550,-33.833686070212664,18.636177032746872
35,Austinville,7580,-33.97795999999994,18.697230000000047
36,Avalon Park,7580,-34.03673433720779,18.590375022735675
37,Avondale,7349,-33.565849999999955,18.489060000000052
38,Avondale,7490,-33.565849999999955,18.489060000000052
39,Avondale,7500,-33.565849999999955,18.489060000000052
40,Avondale Gardens,7800,-34.03579999999994,18.469720000000052
41,Avonwood,7490,-33.92467999999997,18.578900000000033
42,Bakkershoogte,7130,-33.91908999999998,18.421980000000076
43,Bakoven,8005,-33.95906999999994,18.38265000000007
44,Balvenie,7490,-33.93205999999998,18.58400000000006
45,Bantry Bay,8005,-33.92746999999997,18.38020000000006
46,Barbarosa Estate,7806,-33.906874961176364,18.661790047149083
47,Barcelona,7750,-33.97826999999995,18.579660000000047
48,Bardale Village,7580,-33.98242724091949,18.68092495960271
49,Baronetcy Estate,7500,-33.86080999999996,18.573010000000068
50,Bayridge,7441,-33.85266999999993,18.51045000000005
51,Bayview,7798,-34.16848999999996,18.85504000000003
52,Baywatch,7798,-34.15424382297711,18.888569620012394
53,Beach Boulevard,7441,-33.86611735083209,18.497309644265542
54,Beach Estate,7806,-34.031379999999956,18.35048000000006
55,Beacon Hill,7349,-33.55970999999994,18.506340000000023
56,Beacon Valley,7785,-34.040719999999965,18.625540000000058
57,Beaconvale,7500,-33.91436999999996,18.581570000000056
58,Belgravia,7530,-33.971469999999954,18.518740000000037
59,Belgravia Estate,7764,-33.9876956542955,18.49486045948637
60,Belhar,7493,-33.93082999999996,18.656210000000044
61,Belhar,7507,-33.93082999999996,18.656210000000044
62,Bella Centurion,7441,-33.91514999999998,18.48768000000007
63,Bella Vista,7441,-33.74429999999995,18.446210000000065
64,Bellair Estate,7530,-33.93986817785314,18.426358149256973
65,Bellair Winelands Estate,7130,-33.895850240604176,18.67206691844514
66,Belle Glen,7130,-34.08056592718173,18.45330473597965
67,Belle Ombre,7806,-34.01288999999997,18.434240000000045
68,Bellrail,7530,-33.90563999999995,18.635780000000068
69,Bellville,7530,-33.90021999999993,18.62847000000005
70,Bellville Business Park,7530,-33.901629999999955,18.64283000000006
71,Bellville South,7530,-33.91837999999996,18.638370000000066
72,Belmont Park,7570,-33.84686999999997,18.730720000000076
73,Belthorne Estate,7780,-33.98366999999996,18.51574000000005
74,Belvenie Estate,7490,-33.932084959900045,18.575975074701006
75,Benno Park,7580,-33.572748335530584,18.485255202089313
76,Berg en Dal,7806,-34.036539999999945,18.360600000000034
77,Berg en Dal Estate,7806,-34.059212915331685,18.846359277586977
78,Bergshoop,7550,-33.841709959712674,18.681720075514974
79,Bergsig,7460,-33.81782999999996,18.66452000000004
80,Bergsig,7550,-33.81782999999996,18.66452000000004
81,Bergstroom,7530,-33.88345623682175,18.672561635857576
82,Bergvliet,7864,-34.044599999999946,18.45201000000003
83,Bergvliet,7945,-34.044599999999946,18.45201000000003
84,Bergzicht,7460,-34.109519999999975,18.824340000000063
85,Bernadino Heights,7570,-33.877579999999966,18.72049000000004
86,Beroma,7530,-33.91469999999998,18.65500000000003
87,Beverly Park,7100,-34.01202999999998,18.728330000000028
88,Big Bay,7441,-33.78983999999997,18.458350000000053
89,Big Bay,7448,-33.78983999999997,18.458350000000053
90,Big Bay Beach Club,7441,-33.78375999999997,18.454810000000066
91,Bishop Lavis,7490,-33.94787999999994,18.580750000000023
92,Bishopscourt,7708,-33.98956999999996,18.445100000000025
93,Bishopscourt Estate,7708,-33.78344387469487,18.71364143624675
94,Blackheath,7580,-33.911674390535175,18.395836140418947
95,Blackheath,7581,-33.911674390535175,18.395836140418947
96,Bloekombos,7570,-33.84349999999995,18.74786000000006
97,Bloemhof,7530,-33.88015999999993,18.644690000000026
98,Blommendal,7530,-33.88883999999996,18.65491000000003
99,Blomtuin Estate,7530,-33.884999999999934,18.646840000000054
100,Blomvlei,7530,-33.87969999999996,18.618360000000052
101,Blomvlei Estate,7780,-33.99241357786528,18.518411930966543
102,Blouberg Sands,7441,-33.80294999999995,18.478400000000022
103,Bloubergrant,7441,-33.81510999999995,18.477760000000046
104,Bloubergrant,7443,-33.81510999999995,18.477760000000046
105,Bloubergrant North,7444,-33.81510999999995,18.477760000000046
106,Bloubergrise,7441,-33.81210999999996,18.48413000000005
107,Bloubergstrand,7436,-33.80260999999996,18.46246000000008
108,Bloubergstrand,7441,-33.80260999999996,18.46246000000008
109,Blue Downs,7100,-33.98165999999998,18.675770000000057
110,Blue Downs,7105,-33.98165999999998,18.675770000000057
111,Blue Horizon,7785,-34.01070609451917,18.716292955067217
112,Bokkemanskloof,7806,-34.018606237537696,18.383827808396234
113,Bokmakierie,7764,-33.85131495019948,18.661965061287376
114,Bongweni,7784,-34.00666495506031,18.581935068863416
115,Bonnie Brae,7570,-33.831699999999955,18.70333000000005
116,Bonniebrook,7570,-33.86804977789887,18.730899477646147
117,Bonny Brook,7570,-33.83749999999998,18.70288000000005
118,Bonteheuwel,7764,-33.94901999999996,18.551920000000052
119,Boquinar,7490,-33.91908999999998,18.421980000000076
120,Borchards Quarry,7490,-33.97759211690278,18.589000264004692
121,Bosbell Estate,7530,-33.896259999999984,18.626640000000066
122,Bosbou,7530,-33.82678994155805,18.636170089541082
123,Boschendal,7945,-34.05752717889373,18.456023726107112
124,Bosonia,7580,-33.92714999999998,18.68214000000006
125,Boston Estate,7530,-34.005795934390555,18.570900207854493
126,Bothasig,7406,-33.85782999999998,18.539180000000044
127,Bothasig,7441,-33.85782999999998,18.539180000000044
128,Boulevard Park,7530,-33.90485190338311,18.61217793307735
129,Bracken Heights,7560,-33.87400999999994,18.67879000000005
130,Bracken Park,7560,-34.10309208380097,18.87156659765789
131,Brackenfell,7560,-33.88426999999996,18.699610000000064
132,Brackenfell,7561,-33.88426999999996,18.699610000000064
133,Brandwag,7130,-33.91559999999998,18.68485000000004
134,Brandwag,7580,-33.91559999999998,18.68485000000004
135,Brandwood,7580,-34.093894960402466,18.466595093936945
136,Brentwood Park,7100,-33.98485999999997,18.654490000000067
137,Bridgebank,7130,-34.09162999999995,18.847800000000063
138,Bridgetown,7764,-33.95534999999995,18.529950000000042
139,Bridgetown,7769,-33.95534999999995,18.529950000000042
140,Bridgewater,7130,-34.08910999999995,18.85313000000008
141,Briza Estate,7130,-33.821349625663764,18.48398432590622
142,Broadlands,7140,-34.12525999999997,18.864180000000033
143,Brooklyn,7405,-33.90770999999995,18.483330000000024
144,Brookside Village,7130,-34.09267501275531,18.862190144969336
145,Browns Farm,7750,-34.00724999999994,18.582040000000063
146,Buitenzorg Village,7441,-34.07215199420528,18.857637186164574
147,Bulties Estate,7130,-34.07219999164037,18.85769004949889
148,Burgundy Estate,7441,-33.83985999999993,18.551630000000046
149,Burundi,7100,-33.91908999999998,18.421980000000076
150,Cafda,7945,-34.023266427509355,18.653386404934622
151,Cambridge Estate,7441,-33.83101150317973,18.64920895121884
152,Camelot,7580,-33.96038999999996,18.670790000000068
153,Camps Bay,8005,-33.949509999999975,18.379020000000025
154,Camps Bay,8040,-33.949509999999975,18.379020000000025
155,Cape Mail,8003,-33.92259999999993,18.55042000000003
156,Cape Mail Speed Services Network,8004,-33.91908999999998,18.421980000000076
157,Cape Town,8000,-33.91908999999998,18.421980000000076
158,Cape Town,8001,-33.91908999999998,18.421980000000076
159,Cape Town International Airport,7525,-33.967619999999954,18.592120000000023
160,Capegate,7562,-33.85387999999995,18.69604000000004
161,Capri Village,7975,-34.068133487353144,18.585189331824616
162,Capricorn,7945,-34.08902999999998,18.485820000000047
163,Capricorn Beach,7945,-34.03606956077014,18.75092980860478
164,Capricorn Park,7945,-34.08786999999995,18.483310000000074
165,Capricorn Square,7945,-34.088239999999985,18.48159000000004
166,Caravelle,7787,-34.063728840227895,18.61741438572128
167,Caravelle,7798,-34.063728840227895,18.61741438572128
168,Carolwood,7975,-33.91908999999998,18.421980000000076
169,Casablanca,7140,-33.91924999999998,18.47022000000004
170,Castle Rock,7975,-34.23300999999998,18.473510000000033
171,Cedarvale,7100,-33.882649999999956,18.635410000000036
172,Cedarville,7100,-33.882649999999956,18.635410000000036
173,Central,8001,-34.13735781120257,18.42965323232787
174,Centurion Business Park,7441,-33.8787781877957,18.50882774174546
175,Century City,7441,-33.893159999999966,18.51451000000003
176,Century City,7446,-33.893159999999966,18.51451000000003
177,Century On Lake,7441,-33.88943999999998,18.505940000000066
178,Century Place,7441,-33.884598417899376,18.520384034697557
179,Chantecler,7550,-33.86221999999998,18.660060000000044
180,Charlesville,7490,-33.958819999999946,18.565260000000023
181,Chelsea Green,7100,-34.008649226088075,18.71936959906391
182,Chempet,7441,-33.85723999999993,18.521460000000047
183,Chempet,7442,-33.85723999999993,18.521460000000047
184,Chrismar Estate,7530,-33.89648194375222,18.64326146918584
185,Churchill Estate,7500,-33.89955999999995,18.579500000000053
186,Clairewood,7100,-34.005799999999965,18.727720000000033
187,Clam Hill,7500,-33.7984799588092,18.461025109729277
188,Clareinch,7740,-34.0074111050077,18.477146014628147
189,Claremont,7708,-33.983499999999935,18.469730000000027
190,Claremont,7735,-33.983499999999935,18.469730000000027
191,Clarendon Estate,7700,-34.09879690064158,18.8450071520296
192,Clarkes Estate,7490,-33.94136997123313,18.590600112728126
