,Location,Location Latitude,Location Longitude,Venue Name,Venue Latitude,Venue Longitude,Venue Category
0,Admirals Hill,-34.069506561359375,18.559224728539665,Wajids Chicken Tikka & Take-aways,-34.07053955322512,18.56059878870631,Indian Restaurant
1,Airport City,-33.97816999999998,18.591080000000037,Verde Restaurant,-33.97366923456831,18.592075792417692,Breakfast Spot
2,Airport City,-33.97816999999998,18.591080000000037,Steers @ Fresh Stop,-33.977893,18.589436,Burger Joint
3,Airport City,-33.97816999999998,18.591080000000037,The Filling Station,-33.98288,18.59262,Diner
4,Akasiapark,-33.954136790145924,18.52531614910583,Golden Dish,-33.957737141511714,18.524892641058173,Café
5,Albowville,-33.91908999999998,18.42198000000008,Obi,-33.919581,18.422297,Sushi Restaurant
6,Albowville,-33.91908999999998,18.42198000000008,Seattle Coffee Company,-33.91811680755699,18.422749154390253,Coffee Shop
7,Albowville,-33.91908999999998,18.42198000000008,KFC,-33.9206,18.421,Fast Food Restaurant
8,Albowville,-33.91908999999998,18.42198000000008,Hemelhuijs,-33.918540387172335,18.419910904186317,Café
9,Albowville,-33.91908999999998,18.42198000000008,The Food Lover's Market,-33.91802813334946,18.42330190820554,Grocery Store
10,Albowville,-33.91908999999998,18.42198000000008,vida e Caffe - Thibault Square,-33.92015795276594,18.423970034121535,Café
11,Albowville,-33.91908999999998,18.42198000000008,La Tête,-33.917981,18.421797,French Restaurant
12,Albowville,-33.91908999999998,18.42198000000008,Meeting Point Tanzanian Cuisine,-33.919938,18.42018,Restaurant
13,Albowville,-33.91908999999998,18.42198000000008,Vixi Social House,-33.919624,18.420033,Restaurant
14,Albowville,-33.91908999999998,18.42198000000008,Thirty Ate,-33.920968,18.42079,Restaurant
15,Albowville,-33.91908999999998,18.42198000000008,Café Mojo,-33.91890666699082,18.424678444862366,Café
16,Albowville,-33.91908999999998,18.42198000000008,Le Budget Cafe,-33.918389,18.42609,Wings Joint
17,Albowville,-33.91908999999998,18.42198000000008,The Village Idiot,-33.91963019785271,18.421090721074922,Gastropub
